KIDS,KID14,ER30001,ER30002,ER32000,ER32006,ER34201,ER34202,ER34203,P14REL,P14E5,P14E6,P14E10_09,P14E15,P14E16_3,P14E26_5,P14E33_6,P14E53,C14REL,C14B12,C14B13
1,1.1,57,186,1,3,8318,3,30,2,0,0,0,0,0,0,0,0,,,
1,1.2,60,38,1,2,7187,4,30,2,1,1,5,5,0,0,0,1,3,3,4
1,1.2,60,39,2,2,7187,5,30,2,1,1,5,5,0,0,5,2,3,4,5
1,1.2,60,41,1,2,3323,3,30,2,5,0,0,1,1,5,5,1,3,0,0
1,1.2,60,42,1,2,3323,4,30,2,5,0,0,5,0,0,0,1,3,0,0
1,1.2,61,36,2,2,7127,4,30,2,1,3,0,1,5,5,1,2,3,5.3,5.87
1,1.1,61,37,2,2,5694,3,30,2,0,0,0,0,0,0,0,4,,,
1,1.1,61,38,1,2,4591,3,30,2,0,0,0,0,0,0,0,2,,,
1,1.2,68,31,1,2,2636,4,30,2,1,1,5,5,0,5,0,1,3,4,4
1,1.1,68,32,1,2,2636,5,30,2,1,1,0,5,0,5,0,2,,,
1,1.1,68,33,2,2,2636,6,30,2,1,5,0,1,1,0,0,0,,,
1,1.1,84,37,2,2,1651,3,30,2,1,5,0,1,1,0,0,1,,,
1,1.1,84,38,1,2,7984,3,30,2,0,0,0,0,0,0,0,1,,,
1,1.1,84,39,2,2,7984,4,30,2,0,0,0,0,0,0,0,1,,,
1,1.1,84,40,2,2,1651,4,30,2,0,0,0,0,0,0,0,1,,,
1,1.1,88,38,1,2,7693,2,30,2,1,2,0,5,0,5,0,2,,,
1,1.1,88,39,2,2,7693,3,30,2,1,5,0,5,0,5,0,2,,,
1,1.1,88,40,2,2,1294,2,30,2,0,0,0,0,0,0,0,3,,,
1,1.2,89,36,2,2,8186,4,30,2,5,0,0,5,0,0,1,4,3,9.6,10
1,1.2,89,37,2,2,8186,5,30,2,1,2,0,1,5,0,1,4,3,0,0
1,1.1,89,38,1,2,8186,6,30,2,0,0,0,0,0,0,0,5,,,
1,1.1,89,39,2,2,7291,3,30,2,5,0,0,5,0,0,1,4,,,
1,1.2,105,40,1,2,7029,3,30,2,5,0,5,5,0,5,0,1,3,2,4
1,1.2,105,42,2,2,8050,3,30,2,1,5,5,5,0,5,0,1,3,0,0
1,1.2,105,43,2,2,2895,3,30,2,1,1,0,1,5,0,0,2,3,0,0
1,1.1,105,44,1,2,2470,6,30,2,0,0,0,0,0,0,0,5,,,
1,1.1,105,185,2,3,2375,3,30,2,5,0,0,5,0,0,5,2,,,
1,1.2,113,32,2,2,1663,3,30,2,1,4,0,1,1,5,5,5,3,0,0
1,1.1,113,33,2,2,1663,4,30,2,5,0,0,5,0,5,5,5,,,
1,1.1,113,34,2,2,1663,5,30,2,0,0,0,0,0,0,0,5,,,
1,1.2,114,35,1,2,4596,3,33,2,5,0,0,5,0,0,0,1,3,998,98
1,1.2,114,36,2,2,4596,4,30,2,5,0,0,5,0,0,0,1,3,0,0
1,1.1,114,37,1,2,4596,5,30,2,5,0,0,5,0,0,0,1,,,
1,1.1,117,33,1,2,5615,3,30,2,5,0,0,5,0,5,0,1,,,
1,1.2,117,34,2,2,4381,4,30,2,1,6,0,5,0,0,0,1,3,3.8,4
1,1.2,117,35,1,2,5615,4,30,2,5,0,0,5,0,5,0,1,3,0,0
1,1.2,121,38,2,2,4739,3,30,2,1,5,0,1,1,5,0,1,3,4,4
1,1.1,121,39,2,2,4709,3,35,2,1,5,0,5,0,0,0,1,,,
1,1.1,121,40,2,2,4709,4,35,2,1,6,0,5,0,0,0,1,,,
1,1.1,121,41,2,2,6365,3,30,2,0,0,0,0,0,0,0,2,,,
1,1.2,122,39,2,2,4611,6,30,2,1,2,0,5,0,0,0,1,3,3.5,4
1,1.2,122,40,1,2,5949,3,30,2,5,0,0,5,0,0,0,1,3,3.57,4
1,1.2,122,41,1,2,8104,3,30,2,1,4,0,5,0,0,5,1,3,0,0
1,1.2,122,42,2,2,5949,4,30,2,1,5,0,1,1,0,0,2,3,0,0
1,1.1,122,43,2,2,8104,4,30,2,1,5,0,1,5,0,0,2,,,
1,1.1,127,35,1,2,3066,3,30,2,1,2,5,5,0,5,0,2,,,
